,HOOD_158,NEIGHBOURHOOD_158,,,
103,105,Lawrence Park North (105),,neighbourhood,neighbourhood105
104,038,Lansing-Westgate (38),,neighbourhood,neighbourhood038
105,118,Tam O'Shanter-Sullivan (118),,neighbourhood,neighbourhood118
106,043,Victoria Village (43),,neighbourhood,neighbourhood043
107,005,Elms-Old Rexdale (5),,neighbourhood,neighbourhood005
108,016,Stonegate-Queensway (16),,neighbourhood,neighbourhood016
109,081,Trinity-Bellwoods (81),,neighbourhood,neighbourhood081
110,002,Mount Olive-Silverstone-Jamestown (2),,neighbourhood,neighbourhood002
111,056,Leaside-Bennington (56),,neighbourhood,neighbourhood056
112,122,Birchcliffe-Cliffside (122),,neighbourhood,neighbourhood122
113,083,Dufferin Grove (83),,neighbourhood,neighbourhood083
114,147,L'Amoreaux West (147),,neighbourhood,neighbourhood147
115,061,Taylor-Massey (61),,neighbourhood,neighbourhood061
116,050,Newtonbrook East (50),,neighbourhood,neighbourhood050
117,097,Yonge-St.Clair (97),,neighbourhood,neighbourhood097
118,048,Hillcrest Village (48),,neighbourhood,neighbourhood048
119,174,South Eglinton-Davisville (174),,neighbourhood,neighbourhood174
120,116,Steeles (116),,neighbourhood,neighbourhood116
121,080,Palmerston-Little Italy (80),,neighbourhood,neighbourhood080
122,032,Englemount-Lawrence (32),,neighbourhood,neighbourhood032
123,011,Eringate-Centennial-West Deane (11),,neighbourhood,neighbourhood011
124,039,Bedford Park-Nortown (39),,neighbourhood,neighbourhood039
125,068,North Riverdale (68),,neighbourhood,neighbourhood068
126,028,Rustic (28),,neighbourhood,neighbourhood028
127,047,Don Valley Village (47),,neighbourhood,neighbourhood047
128,090,Junction Area (90),,neighbourhood,neighbourhood090
129,146,Malvern East (146),,neighbourhood,neighbourhood146
130,060,Woodbine-Lumsden (60),,neighbourhood,neighbourhood060
131,034,Bathurst Manor (34),,neighbourhood,neighbourhood034
132,096,Casa Loma (96),,neighbourhood,neighbourhood096
133,143,West Rouge (143),,neighbourhood,neighbourhood143
134,133,Centennial Scarborough (133),,neighbourhood,neighbourhood133
135,019,Long Branch (19),,neighbourhood,neighbourhood019
136,129,Agincourt North (129),,neighbourhood,neighbourhood129
137,021,Humber Summit (21),,neighbourhood,neighbourhood021
138,157,Bendale South (157),,neighbourhood,neighbourhood157
139,069,Blake-Jones (69),,neighbourhood,neighbourhood069
140,103,Lawrence Park South (103),,neighbourhood,neighbourhood103
141,106,Humewood-Cedarvale (106),,neighbourhood,neighbourhood106
142,023,Pelmo Park-Humberlea (23),,neighbourhood,neighbourhood023
143,004,Rexdale-Kipling (4),,neighbourhood,neighbourhood004
144,007,Willowridge-Martingrove-Richview (7),,neighbourhood,neighbourhood007
145,089,Runnymede-Bloor West Village (89),,neighbourhood,neighbourhood089
146,102,Forest Hill North (102),,neighbourhood,neighbourhood102
147,135,Morningside (135),,neighbourhood,neighbourhood135
148,148,East L'Amoreaux (148),,neighbourhood,neighbourhood148
149,003,Thistletown-Beaumond Heights (3),,neighbourhood,neighbourhood003
150,112,Beechborough-Greenbrook (112),,neighbourhood,neighbourhood112
151,008,Humber Heights-Westmount (8),,neighbourhood,neighbourhood008
152,015,Kingsway South (15),,neighbourhood,neighbourhood015
153,009,Edenbridge-Humber Valley (9),,neighbourhood,neighbourhood009
154,029,Maple Leaf (29),,neighbourhood,neighbourhood029
155,140,Guildwood (140),,neighbourhood,neighbourhood140
156,109,Caledonia-Fairbank (109),,neighbourhood,neighbourhood109
157,010,Princess-Rosethorn (10),,neighbourhood,neighbourhood010
158,058,Old East York (58),,neighbourhood,neighbourhood058
159,049,Bayview Woods-Steeles (49),,neighbourhood,neighbourhood049
