ORGANIZATION_NAME,SHELTER_ID,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,NEIGHBOURHOOD
Dixon Hall,9,1157,354 George Street,354 George St,M5A 2N3,Toronto,73
Street Haven At The Crossroads,36,1045,Street Haven,87 Pembroke St,M5A 2N9,Toronto,73
The Salvation Army of Canada,45,1057,Maxwell Meighen Centre,135 Sherbourne St,M5A 2R5,Toronto,73
City of Toronto,54,1069,Robertson House,291 Sherbourne St,M5A 2R9,Toronto,73
The MUC Shelter Corporation,47,1059,Sojourn House Ontario St,101 Ontario St,M5A 2V2,Toronto,73
City of Toronto,23,1184,Woodgreen Regent Park Interim Housing 2,295 Sackville St,M5A 3G1,Toronto,72
City of Toronto,23,1183,Woodgreen Regent Park Interim Housing 1,274 Sackville St,M5A 3S7,Toronto,72
Good Shepherd Ministries,16,1021,Good Shepherd Centre Barrett House,35 Sydenham St,M5A 4H5,Toronto,72
Street Haven At The Crossroads,36,1180,Street Haven Downtown Hotel Program,26 Gerrard St E,M5B 1G3,Toronto,168
Society of St.Vincent De Paul,37,1048,SVDP Mary's Home,70 Gerrard St E,M5B 1G6,Toronto,168
Covenant House Toronto,20,1027,Covenant House McGill St,21 McGill St,M5B 1H3,Toronto,168
Good Shepherd Ministries,16,1168,Good Shepherd Centre West End Hotel Program,335 Jarvis St,M5B 2C2,Toronto,73
Dixon Hall,9,1176,Dixon Hall Bond Place Hotel Program,65 Dundas St E,M5B 2G8,Toronto,168
Covenant House Toronto,20,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,168
Fred Victor Centre,42,1007,Adelaide Resource Centre for Women,67 Adelaide St E,M5C 1K6,Toronto,168
City of Toronto,3,1190,SSHA Downtown Response Program,76 Church St,M5C 2G1,Toronto,168
City of Toronto,3,1190,TSSS Downtown Response Program,76 Church St,M5C 2G1,Toronto,168
The Salvation Army of Canada,29,1037,SA Gateway,107 Jarvis St,M5C 2H4,Toronto,73
St. Felix Social Ministries Outreach,66,1178,St. Felix Centre Esplanade Response Program,98 The Esplanade,M5E 1A9,Toronto,166
Dixon Hall,9,1177,Dixon Hall Downtown Hotel,56 Yonge St,M5E 1G5,Toronto,170
Homes First Society,24,1191,45 The Esplanade,45 The Esplanade,M5E 1W2,Toronto,166
Fred Victor Centre,72,1521,Fred Victor Elizabeth,75 Elizabeth Street,M5G 1P4,Toronto,170
City of Toronto,4,1005,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,78
City of Toronto,4,1005,TSSS Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,78
YMCA of Greater Toronto,5,1167,Downtown Hotel Program - York,60 York St,M5J 1S8,Toronto,170
Dixon Hall,9,1167,HFS Downtown Hotel Program,60 York St,M5J 1S8,Toronto,170
Dixon Hall,9,1167,Downtown Hotel Program - York,60 York St,M5J 1S8,Toronto,170
Eva's Initiatives,18,1167,Downtown Hotel Program - York,60 York Street,M5J 1S8,Toronto,170
Eva's Initiatives,18,1167,Downtown Hotel Program - York,60 York St,M5J 1S8,Toronto,170
Covenant House Toronto,20,1167,Downtown Hotel Program - York,60 York St,M5J 1S8,Toronto,170
Homes First Society,25,1167,HFS Downtown Hotel Program,60 York St,M5J 1S8,Toronto,170
Homes First Society,25,1167,Downtown Hotel Program - York,60 York St,M5J 1S8,Toronto,170
YWCA Toronto,78,1129,YWCA Davenport Shelter,348 Davenport Road,M5R 1K6,Toronto,95
Native Child & Family Services Toronto,12,1500,Native Child & Family - Spadina,111 Spadina Rd,M5R 2T1,Toronto,95
Christie Ossington Neighbourhood Centre,22,1541,Christie Ossington - Spadina Rd,136 Spadina Rd,M5R 2T8,Toronto,95
Toronto Community Hostel,48,1120,Toronto Community Hostel (MUC),191 Spadina Rd,M5R 2T9,Toronto,95
YMCA of Greater Toronto,64,1101,YMCA Sprott House,21 Walmer Rd,M5R 2W7,Toronto,95
YMCA of Greater Toronto,64,1101,YMCA Sprott House ,21 Walmer Rd,M5R 2W7,Toronto,95
The Scott Mission Inc.,8,1014,Scott Mission,502 Spadina Ave,M5S 2H1,Toronto,79
COSTI Immigrant Services,40,1051,COSTI Reception Centre,100 Lippincott St,M5S 2P1,Toronto,79
Native Child & Family Services Toronto,12,1018,Native Child & Family Services Toronto,558 Bathurst St,M5S 2P9,Toronto,80
The Scott Mission Inc.,8,1300,The Scott Mission - Kensington location,346 Spadina Ave.,M5T 1J5,Toronto,78
Christie Ossington Neighbourhood Centre,22,1440,CONC - Warming Centre - Cecil,58 Cecil Street,M5T 1N6,NA,78
City of Toronto,83,1440,CONC - Warming Centre - Cecil,58 Cecil Street,M5T 1N6,NA,78
St. Felix Social Ministries Outreach,66,1105,St. Felix Centre 25 Augusta Ave. Respite,25 Augusta Ave,M5T 2K7,Toronto,78
Fife House Foundation,41,1053,Fife House Denison Ave,70 Denison Ave,M5T 2M8,Toronto,78
City of Toronto,4,1124,SSHA Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,78
City of Toronto,4,1124,TSSS Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,78
The MUC Shelter Corporation,47,1132,Sojourn House Hotel Program,165 Grange Ave,M5T 2V5,Toronto,78
YMCA of Greater Toronto,5,1096,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,M5T 2V9,Toronto,78
YMCA of Greater Toronto,5,1169,Youth Agencies Downtown Hotel Program,222 Spadina Ave,M5T 3B3,Toronto,78
Native Child & Family Services Toronto,12,1169,Youth Agencies Downtown Hotel Program,222 Spadina Ave,M5T 3B3,Toronto,78
Covenant House Toronto,20,1169,Youth Agencies Downtown Hotel Program,222 Spadina Ave,M5T 3B3,Toronto,78
Homes First Society,24,1150,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,165
Homes First Society,26,1033,HFS Strachan House,805A Wellington St W,M5V 1G8,Toronto,162
YMCA of Greater Toronto,5,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,164
Native Child & Family Services Toronto,12,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,164
Eva's Initiatives,18,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,164
Covenant House Toronto,20,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,164
City of Toronto,6,1004,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,164
Fred Victor Centre,72,1078,Metro Hall,55 John St,M5V 3C6,Toronto,164
Eva's Initiatives,19,1025,Eva's Phoenix,60 Brant St,M5V 3G9,Toronto,164
City of Toronto,62,1011,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,162
City of Toronto,62,1011,TSSS Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,162
Fred Victor Centre,44,1055,Fred Victor Centre Bethlehem United Shelter,1161 Caledonia Rd,M6A 2W9,Toronto,31
Cornerstone Place,21,1028,Cornerstone Place,616 Vaughan Rd,M6C 2R5,Toronto,107
Horizon for Youth,13,1019,Horizons for Youth,422 Gilbert Ave,M6E 4X3,Toronto,109
Christie Ossington Neighbourhood Centre,22,1102,CONC Men's Shelter Bloor St W,850 Bloor St W,M6G 1M2,Toronto,172
Na-Me-Res (Native Men's Residence),1,1013,Sagatay,26 Vaughan Rd,M6G 2C4,Toronto,94
Na-Me-Res (Native Men's Residence),1,1013,Sagatay ,26 Vaughan Rd,M6G 2C4,Toronto,94
Na-Me-Res (Native Men's Residence),1,1002,Na-Me-Res,14 Vaughan Rd,M6G 2N1,Toronto,94
"Christie Refugee Welcome Centre, Inc.",39,1052,Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,Toronto,95
